prev_current_center_x,prev_current_center_y,prev_angle,prev_phase_value_x,prev_phase_value_y,prev_phase_value_z,prev_amplitude_value_x,prev_amplitude_value_y,prev_amplitude_value_z,movement_category,movement_purity,delta_prev_current_center_x,delta_prev_current_center_y,delta_angle,normalized_causing_action
0.619,0.412,11.689369175439197,1.0,1.0,0.0,1.0,0.0,1.0,Stop,0.0,0.007000000000000006,0.0030000000000000027,-2.346874292487257,0.7272727272727273
0.633,0.416,11.689369175439197,1.0,1.0,0.0,1.0,0.0,1.0,Forward,1.0,0.014000000000000012,0.0040000000000000036,0.0,1.0
0.654,0.418,15.945395900922849,1.0,1.0,0.0,1.0,0.0,1.0,Forward,0.6408487503136571,0.02100000000000002,0.0020000000000000018,4.25602672548365,0.6363636363636364
0.686,0.428,12.094757077012105,1.0,1.0,0.0,1.0,0.0,1.0,Forward,0.7581262815730978,0.03200000000000003,0.010000000000000009,-3.8506388239107423,0.1818181818181818
0.711,0.433,9.78240703180728,1.0,0.0,0.0,1.0,0.0,1.0,Forward,0.7987613327728488,0.02499999999999991,0.0050000000000000044,-2.3123500452048233,0.3636363636363636
0.735,0.437,5.906141113770502,1.0,0.0,0.0,1.0,0.0,1.0,Forward,0.6932228159297997,0.02400000000000002,0.0040000000000000036,-3.876265918036779,0.8181818181818182
0.762,0.438,3.814074834290352,1.0,0.0,0.0,1.0,1.0,1.0,Forward,0.8229872276978722,0.027000000000000024,0.0010000000000000009,-2.09206627948015,0.1818181818181818
0.796,0.439,14.036243467926454,1.0,0.0,0.0,1.0,1.0,1.0,Forward & Clockwise,1.0,0.03400000000000003,0.0010000000000000009,10.222168633636102,0.6363636363636364
0.835,0.448,29.248826336546983,1.0,0.0,0.0,1.0,1.0,1.0,Forward & Clockwise,1.0,0.038999999999999924,0.009000000000000008,15.21258286862053,0.5454545454545454
0.85,0.458,33.69006752597977,1.0,0.0,0.0,0.0,1.0,1.0,Forward,0.5937108840078982,0.015000000000000013,0.010000000000000009,4.4412411894327875,0.6363636363636364
0.861,0.472,38.047042531826094,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.7272727272727273
0.861,0.472,38.047042531826094,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.9090909090909092
0.861,0.472,38.047042531826094,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.7272727272727273
0.861,0.472,38.047042531826094,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.9090909090909092
0.861,0.472,38.047042531826094,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,1.0
0.861,0.472,38.047042531826094,0.0,1.0,0.0,0.0,0.0,1.0,Stop,0.0,0.0,0.0,0.0,0.0909090909090909
0.861,0.472,38.047042531826094,1.0,1.0,0.0,0.0,0.0,1.0,Stop,0.0,0.0,0.0,0.0,1.0
0.86,0.472,36.86989764584405,1.0,1.0,0.0,0.0,0.0,1.0,Stop,0.0,-0.0010000000000000009,0.0,-1.1771448859820453,0.0
0.859,0.473,36.46923439005184,0.0,1.0,0.0,0.0,0.0,1.0,Stop,0.0,-0.0010000000000000009,0.0010000000000000009,-0.4006632557922103,0.0909090909090909
0.858,0.473,35.31121343963321,1.0,1.0,0.0,0.0,0.0,1.0,Stop,0.0,-0.0010000000000000009,0.0,-1.1580209504186314,0.2727272727272727
0.857,0.473,36.46923439005184,1.0,1.0,0.0,0.0,0.0,1.0,Stop,0.0,-0.0010000000000000009,0.0,1.1580209504186314,0.6363636363636364
0.856,0.472,36.86989764584405,1.0,1.0,0.0,1.0,0.0,1.0,Stop,0.0,-0.0010000000000000009,-0.0010000000000000009,0.4006632557922103,0.0
0.863,0.478,32.61924307119284,0.0,1.0,0.0,1.0,0.0,1.0,Stop,0.0,0.007000000000000006,0.006000000000000005,-4.250654574651207,0.5454545454545454
0.852,0.47,36.86989764584405,0.0,1.0,0.0,0.0,0.0,1.0,Backward,0.5353045708642981,-0.01100000000000001,-0.008000000000000007,4.250654574651207,0.0
0.85,0.47,36.86989764584405,0.0,1.0,0.0,0.0,0.0,1.0,Stop,0.0,-0.0020000000000000018,0.0,0.0,0.9090909090909092
0.849,0.471,36.46923439005184,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,-0.0010000000000000009,0.0010000000000000009,-0.4006632557922103,0.6363636363636364
0.847,0.471,36.46923439005184,0.0,1.0,0.0,1.0,0.0,0.0,Stop,0.0,-0.0020000000000000018,0.0,0.0,0.3636363636363636
0.848,0.47,28.30075576600637,0.0,1.0,0.0,1.0,0.0,0.0,Anti-Clockwise,0.9413297287165585,0.0010000000000000009,-0.0010000000000000009,-8.168478624045463,0.1818181818181818
0.849,0.467,1.9749340108819524,0.0,0.0,0.0,1.0,0.0,0.0,Anti-Clockwise,0.9585490118545437,0.0010000000000000009,-0.002999999999999947,-26.325821755124423,1.0
0.846,0.472,36.86989764584405,0.0,0.0,0.0,1.0,0.0,1.0,Clockwise,0.9432573755356909,-0.0030000000000000027,0.004999999999999949,34.894963634962096,0.5454545454545454
0.839,0.464,23.962488974578207,0.0,0.0,0.0,0.0,0.0,1.0,Left & Anti-Clockwise,1.0,-0.007000000000000006,-0.007999999999999952,-12.907408671265841,0.8181818181818182
0.826,0.46,28.30075576600637,0.0,0.0,0.0,0.0,1.0,1.0,Backward,0.5302260375412353,-0.013000000000000012,-0.0040000000000000036,4.338266791428168,0.8181818181818182
0.829,0.463,30.963756532073543,0.0,0.0,0.0,0.0,1.0,1.0,Stop,0.0,0.0030000000000000027,0.0030000000000000027,2.663000766067171,0.2727272727272727
0.836,0.467,26.565051177077976,0.0,1.0,0.0,0.0,1.0,1.0,Stop,0.0,0.007000000000000006,0.0040000000000000036,-4.39870535499557,0.9090909090909092
0.834,0.462,28.30075576600637,0.0,1.0,0.0,0.0,1.0,0.0,Stop,0.0,-0.0020000000000000018,-0.0050000000000000044,1.7357045889283995,0.8181818181818182
0.825,0.458,23.962488974578207,0.0,1.0,0.0,0.0,1.0,0.0,Stop,0.0,-0.009000000000000008,-0.0040000000000000036,-4.338266791428168,0.7272727272727273
0.824,0.457,21.44773632710536,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,-0.0010000000000000009,-0.0010000000000000009,-2.5147526474728465,0.5454545454545454
0.825,0.457,22.166345822082462,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0010000000000000009,0.0,0.7186094949771018,0.6363636363636364
0.825,0.457,22.166345822082462,0.0,1.0,0.0,1.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.1818181818181818
0.824,0.457,21.44773632710536,0.0,0.0,0.0,1.0,0.0,0.0,Stop,0.0,-0.0010000000000000009,0.0,-0.7186094949771018,0.8181818181818182
0.823,0.463,9.78240703180728,0.0,0.0,0.0,1.0,1.0,0.0,Anti-Clockwise,0.8419505634495597,-0.0010000000000000009,0.006000000000000005,-11.66532929529808,0.5454545454545454
0.823,0.461,9.78240703180728,0.0,0.0,0.0,0.0,1.0,0.0,Stop,0.0,0.0,-0.0020000000000000018,0.0,0.3636363636363636
0.822,0.462,12.094757077012105,0.0,0.0,0.0,0.0,1.0,0.0,Stop,0.0,-0.0010000000000000009,0.0010000000000000009,2.3123500452048233,0.0909090909090909
0.822,0.462,12.094757077012105,1.0,0.0,0.0,0.0,1.0,0.0,Stop,0.0,0.0,0.0,0.0,0.4545454545454545
0.822,0.461,14.036243467926454,1.0,0.0,1.0,0.0,1.0,0.0,Stop,0.0,0.0,-0.0010000000000000009,1.9414863909143492,0.4545454545454545
0.822,0.461,14.036243467926454,1.0,0.0,1.0,0.0,1.0,0.0,Stop,0.0,0.0,0.0,0.0,0.6363636363636364
0.822,0.462,12.094757077012105,1.0,0.0,1.0,1.0,1.0,0.0,Stop,0.0,0.0,0.0010000000000000009,-1.9414863909143492,0.2727272727272727
0.816,0.464,15.945395900922849,1.0,1.0,1.0,1.0,1.0,0.0,Stop,0.0,-0.006000000000000005,0.0020000000000000018,3.8506388239107423,0.0909090909090909
0.81,0.458,3.814074834290352,1.0,1.0,1.0,1.0,1.0,0.0,Anti-Clockwise,0.7988478337488354,-0.005999999999999894,-0.006000000000000005,-12.131321066632495,0.9090909090909092
0.809,0.459,350.2175929681927,1.0,1.0,1.0,1.0,1.0,0.0,Anti-Clockwise,0.9639067513878785,-0.0010000000000000009,0.0010000000000000009,-13.596481866097633,1.0
0.808,0.457,337.0678995624102,1.0,1.0,1.0,1.0,1.0,1.0,Anti-Clockwise,0.9423143637598881,-0.0010000000000000009,-0.0020000000000000018,-13.1496934057825,0.2727272727272727
0.798,0.463,330.01836063115064,1.0,1.0,1.0,1.0,1.0,1.0,Backward & Anti-Clockwise,1.0,-0.010000000000000009,0.006000000000000005,-7.049538931259576,0.8181818181818182
0.74,0.481,345.96375653207355,1.0,1.0,1.0,1.0,1.0,1.0,Backward & Clockwise,0.9999999999999999,-0.017000000000000015,0.0040000000000000036,8.130102354156008,0.4545454545454545
0.721,0.484,356.0548137709624,1.0,1.0,1.0,1.0,1.0,1.0,Backward & Clockwise,1.0,-0.019000000000000017,0.0030000000000000027,10.09105723888888,0.0
0.703,0.482,23.962488974578207,0.0,1.0,1.0,1.0,1.0,1.0,Forward & Clockwise,1.0,0.015999999999999903,0.0020000000000000018,7.458127592823189,0.6363636363636364
0.728,0.491,17.8188889145228,0.0,1.0,1.0,1.0,1.0,1.0,Forward & Anti-Clockwise,1.0,0.025000000000000022,0.009000000000000008,-6.143600060055405,0.5454545454545454
0.748,0.494,19.65382405805332,0.0,1.0,1.0,0.0,1.0,1.0,Forward,0.7987013055898593,0.020000000000000018,0.0030000000000000027,1.8349351435305152,0.1818181818181818
0.75,0.497,17.8188889145228,0.0,0.0,1.0,0.0,1.0,1.0,Stop,0.0,0.0020000000000000018,0.0030000000000000027,-1.8349351435305152,0.6363636363636364
0.752,0.498,12.094757077012105,0.0,0.0,1.0,1.0,1.0,1.0,Anti-Clockwise,0.8767085109604075,0.0020000000000000018,0.0010000000000000009,-5.724131837510697,0.3636363636363636
0.77,0.502,3.814074834290352,0.0,0.0,0.0,1.0,1.0,1.0,Forward & Anti-Clockwise,1.0,0.018000000000000016,0.0040000000000000036,-8.280682242721753,0.6363636363636364
0.773,0.505,5.906141113770502,0.0,0.0,0.0,1.0,1.0,1.0,Stop,0.0,0.0030000000000000027,0.0030000000000000027,2.09206627948015,0.3636363636363636
0.755,0.506,16.504361381755018,0.0,0.0,0.0,1.0,1.0,1.0,Backward & Clockwise,1.0,-0.018000000000000016,0.0010000000000000009,10.598220267984516,0.1818181818181818
0.742,0.503,26.565051177077976,0.0,0.0,0.0,1.0,1.0,1.0,Backward & Clockwise,1.0,-0.013000000000000012,-0.0030000000000000027,10.060689795322958,1.0
0.729,0.499,30.963756532073543,0.0,0.0,0.0,1.0,1.0,1.0,Backward,0.5267784538085152,-0.013000000000000012,-0.0040000000000000036,4.39870535499557,0.1818181818181818
0.713,0.496,38.047042531826094,0.0,0.0,0.0,1.0,1.0,1.0,Backward & Clockwise,1.0,-0.016000000000000014,-0.0030000000000000027,7.0832859997525475,1.0
0.711,0.494,38.047042531826094,0.0,0.0,0.0,1.0,1.0,1.0,Stop,0.0,-0.0020000000000000018,-0.0020000000000000018,0.0,0.7272727272727273
0.704,0.493,40.815083874881566,0.0,0.0,0.0,1.0,0.0,1.0,Stop,0.0,-0.007000000000000006,-0.0010000000000000009,2.7680413430554722,0.5454545454545454
0.688,0.483,40.815083874881566,0.0,0.0,0.0,0.0,0.0,1.0,Backward,1.0,-0.016000000000000014,-0.010000000000000009,0.0,0.9090909090909092
0.686,0.481,40.815083874881566,0.0,0.0,0.0,0.0,0.0,0.0,Stop,0.0,-0.0019999999999998908,-0.0020000000000000018,0.0,0.0
0.685,0.481,39.55966796899452,0.0,0.0,0.0,0.0,0.0,0.0,Stop,0.0,-0.0010000000000000009,0.0,-1.2554159058870482,0.3636363636363636
0.685,0.481,39.55966796899452,0.0,0.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.1818181818181818
0.685,0.481,39.55966796899452,0.0,0.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,1.0
0.685,0.481,39.55966796899452,0.0,0.0,0.0,0.0,0.0,1.0,Stop,0.0,0.0,0.0,0.0,0.6363636363636364
0.685,0.481,39.55966796899452,0.0,0.0,0.0,1.0,0.0,1.0,Stop,0.0,0.0,0.0,0.0,0.7272727272727273
0.671,0.471,45.0,0.0,0.0,0.0,1.0,0.0,1.0,Backward & Clockwise,0.9999999999999999,-0.014000000000000012,-0.010000000000000009,5.440332031005482,0.4545454545454545
0.654,0.455,55.17551084304319,0.0,0.0,1.0,1.0,0.0,1.0,Backward & Clockwise,1.0,-0.017000000000000015,-0.01599999999999996,10.175510843043185,0.2727272727272727
0.649,0.448,63.43494882292202,0.0,1.0,1.0,1.0,0.0,1.0,Clockwise,0.7273016833947393,-0.0050000000000000044,-0.007000000000000006,8.25943797987884,0.9090909090909092
0.656,0.462,61.699244233993625,0.0,1.0,1.0,1.0,0.0,0.0,Right,0.7645095980965853,0.007000000000000006,0.014000000000000012,-1.7357045889283995,1.0
0.659,0.467,59.03624346792651,0.0,1.0,1.0,1.0,0.0,1.0,Stop,0.0,0.0030000000000000027,0.0050000000000000044,-2.663000766067114,0.4545454545454545
0.662,0.471,57.38075692880716,0.0,1.0,1.0,1.0,0.0,1.0,Stop,0.0,0.0030000000000000027,0.003999999999999948,-1.6554865391193516,0.8181818181818182
0.672,0.487,51.95295746817391,0.0,1.0,1.0,1.0,1.0,1.0,Right & Anti-Clockwise,1.0,0.010000000000000009,0.016000000000000014,-5.427799460633253,0.4545454545454545
0.689,0.506,49.184916125118434,0.0,1.0,1.0,1.0,1.0,1.0,Right,0.7682925428202872,0.016999999999999904,0.019000000000000017,-2.7680413430554722,0.0
0.711,0.532,43.60281897270363,0.0,1.0,1.0,1.0,1.0,1.0,Right & Anti-Clockwise,1.0,0.02200000000000002,0.026000000000000023,-5.5820971524148035,0.1818181818181818
0.73,0.545,35.31121343963321,0.0,0.0,1.0,1.0,1.0,1.0,Forward & Anti-Clockwise,1.0,0.019000000000000017,0.013000000000000012,-8.291605533070424,0.0
0.743,0.551,30.963756532073543,0.0,0.0,1.0,1.0,1.0,1.0,Forward,0.5424631395569817,0.013000000000000012,0.006000000000000005,-4.3474569075596605,0.3636363636363636
0.759,0.56,23.962488974578207,0.0,0.0,0.0,1.0,1.0,1.0,Forward & Anti-Clockwise,1.0,0.016000000000000014,0.009000000000000008,-7.001267557495339,0.0909090909090909
0.764,0.564,19.65382405805332,1.0,0.0,0.0,1.0,1.0,1.0,Stop,0.0,0.0050000000000000044,0.0039999999999998925,-4.30866491652489,0.6363636363636364
0.769,0.566,16.504361381755018,1.0,0.0,0.0,1.0,1.0,1.0,Stop,0.0,0.0050000000000000044,0.0020000000000000018,-3.149462676298299,0.0
0.827,0.58,38.047042531826094,0.0,0.0,0.0,1.0,1.0,1.0,Forward & Clockwise,1.0,0.05799999999999994,0.014000000000000012,21.542681150071076,0.2727272727272727
0.831,0.586,38.047042531826094,0.0,1.0,0.0,1.0,1.0,1.0,Stop,0.0,0.0040000000000000036,0.006000000000000005,0.0,0.0
0.822,0.582,39.28940686250036,0.0,1.0,0.0,1.0,1.0,1.0,Stop,0.0,-0.009000000000000008,-0.0040000000000000036,1.2423643306742633,0.4545454545454545
0.791,0.54,43.60281897270363,0.0,1.0,1.0,1.0,1.0,1.0,Left & Anti-Clockwise,1.0,-0.016000000000000014,-0.018000000000000016,-11.085967587663163,0.3636363636363636
0.806,0.553,46.39718102729637,0.0,1.0,0.0,1.0,1.0,1.0,Forward,0.7188815259715358,0.015000000000000013,0.013000000000000012,2.794362054592739,0.0
0.805,0.547,59.03624346792651,0.0,1.0,0.0,1.0,1.0,1.0,Clockwise,0.8523288397707338,-0.0010000000000000009,-0.006000000000000005,12.639062440630141,0.5454545454545454
0.797,0.531,71.56505117707798,0.0,1.0,0.0,0.0,1.0,1.0,Left & Clockwise,1.0,-0.008000000000000007,-0.016000000000000014,12.528807709151465,0.7272727272727273
0.793,0.516,72.18111108547726,0.0,1.0,0.0,0.0,0.0,1.0,Left,0.9007117712069,-0.0040000000000000036,-0.015000000000000013,0.6160599083992793,0.5454545454545454
0.785,0.503,71.56505117707798,0.0,1.0,0.0,0.0,0.0,1.0,Left,0.8991920163885779,-0.008000000000000007,-0.013000000000000012,-0.6160599083992793,0.8181818181818182
0.785,0.503,71.56505117707798,0.0,1.0,0.0,0.0,1.0,1.0,Stop,0.0,0.0,0.0,0.0,0.4545454545454545
0.782,0.497,69.67686317033707,0.0,1.0,1.0,0.0,1.0,1.0,Stop,0.0,-0.0030000000000000027,-0.006000000000000005,-1.8881880067409043,0.3636363636363636
0.777,0.482,75.96375653207355,0.0,1.0,0.0,0.0,1.0,1.0,Left & Clockwise,1.0,-0.0050000000000000044,-0.015000000000000013,6.286893361736475,0.2727272727272727
0.779,0.483,84.0938588862295,0.0,1.0,0.0,0.0,1.0,1.0,Clockwise,0.909907481866602,0.0020000000000000018,0.0010000000000000009,8.130102354155952,0.5454545454545454
0.769,0.438,79.87532834460217,1.0,1.0,0.0,0.0,1.0,1.0,Left,0.7209996476982454,-0.0030000000000000027,-0.014000000000000012,-1.9945693012418815,0.1818181818181818
0.757,0.397,67.83365417791754,1.0,0.0,0.0,0.0,1.0,1.0,Left & Anti-Clockwise,1.0,-0.006000000000000005,-0.012999999999999956,-12.04167416668463,0.5454545454545454
0.773,0.441,59.03624346792651,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.0
0.773,0.441,59.03624346792651,0.0,1.0,0.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,0.4545454545454545
0.773,0.441,59.03624346792651,0.0,1.0,1.0,0.0,0.0,0.0,Stop,0.0,0.0,0.0,0.0,1.0
0.773,0.441,59.03624346792651,0.0,1.0,1.0,0.0,0.0,1.0,Stop,0.0,0.0,0.0,0.0,0.0909090909090909
0.773,0.44,60.0183606311507,1.0,1.0,1.0,0.0,0.0,1.0,Stop,0.0,0.0,-0.0010000000000000009,0.9821171632241885,0.1818181818181818
0.773,0.439,59.03624346792651,1.0,0.0,1.0,0.0,0.0,1.0,Stop,0.0,0.0,-0.0010000000000000009,-0.9821171632241885,0.8181818181818182
0.772,0.439,60.75117366345302,1.0,0.0,1.0,0.0,1.0,1.0,Stop,0.0,-0.0010000000000000009,0.0,1.714930195526506,0.3636363636363636
0.767,0.43,49.184916125118434,1.0,0.0,0.0,0.0,1.0,1.0,Left & Anti-Clockwise,1.0,-0.0050000000000000044,-0.009000000000000008,-11.566257538334582,0.2727272727272727
0.762,0.421,46.39718102729637,1.0,1.0,0.0,0.0,1.0,1.0,Left,0.5707321252694127,-0.0050000000000000044,-0.009000000000000008,-2.7877350978220647,0.2727272727272727
0.764,0.419,46.39718102729637,1.0,1.0,0.0,0.0,1.0,1.0,Stop,0.0,0.0020000000000000018,-0.0020000000000000018,0.0,0.9090909090909092
0.757,0.411,42.13759477388828,1.0,1.0,0.0,0.0,1.0,0.0,Left,0.4732432425189603,-0.007000000000000006,-0.008000000000000007,-4.259586253408088,1.0
0.746,0.4,33.69006752597977,1.0,1.0,0.0,0.0,1.0,1.0,Backward & Anti-Clockwise,1.0,-0.01100000000000001,-0.010999999999999954,-8.44752724790851,0.9090909090909092
0.743,0.396,29.248826336546983,1.0,1.0,0.0,0.0,1.0,0.0,Stop,0.0,-0.0030000000000000027,-0.0040000000000000036,-4.4412411894327875,0.3636363636363636
0.74,0.396,28.30075576600637,1.0,1.0,0.0,0.0,1.0,0.0,Stop,0.0,-0.0030000000000000027,0.0,-0.9480705705406081,0.2727272727272727
0.74,0.396,28.30075576600637,1.0,1.0,0.0,0.0,1.0,0.0,Stop,0.0,0.0,0.0,0.0,0.0909090909090909
